OPPORTUNITIES BY SALES STAGE



Results

Opportunity Name,Opportunity Amount,Sales Stage,Probability (%),Expected Close Date,assigned user id => Users User Name
"Crystal Decor-Acczent Evolution-Mock Up","Rs100,000.00","Draft","40.00","31-01-2014","Faiza"
"EWF-Walnut & Teak Plank","Rs50,000.00","Draft","40.00","08-03-2014","Faiza"
"Sterling Infinia","Rs100,000.00","Draft","40.00","31-01-2014","Faiza"
"LWF-Dark Fumes Oak","Rs30,000.00","Draft","40.00","12-03-2014","Faiza"
"Ronald Rex & vishnupriya","Rs100,000.00","Draft","40.00","15-01-2014","Faiza"
"Sneha-Studio XS- Ipe long deck","Rs100,000.00","Draft","40.00","30-04-2014","Faiza"
"LWF-Ritwik","Rs75,000.00","Draft","40.00","30-04-2014","Faiza"
"Individual House-Jyostna","Rs39,350.00","Draft","40.00","15-03-2014","Gangaraju"
"out door deck for garden","Rs250,000.00","Draft","50.00","10-04-2014","Gangaraju"
"Outdoor Wood IPE Tile Smooth.Scope","Rs150,000.00","Draft","60.00","12-03-2014","Gangaraju"
"laminate wood flooring-smoked oak","Rs45,000.00","Draft","50.00","15-04-2014","Gangaraju"
"LAMINATE WOOD FLOORING","Rs21,000.00","Draft","50.00","20-02-2014","Gangaraju"
"Outdoor Wood IPE Tile Smooth and Long deck","Rs240,000.00","Draft","60.00","30-05-2014","Gangaraju"
"SWF-Teak plank","Rs250,000.00","Draft","60.00","20-02-2014","Gangaraju"
"Reveleation @ gym room","Rs45,764.00","Draft","70.00","12-09-2013","Gautam"
"LWF @ chanrasekhar","Rs15,000.00","Draft","40.00","01-08-2013","Gautam"
"LEE FASHIONS","Rs132,000.00","Draft","40.00","31-05-2013","Gautam"
"Lwf @ master bed room","Rs10,000.00","Draft","40.00","11-07-2013","Gautam"
"Cherry Plank @ master bed room","Rs33,000.00","Draft","40.00","26-09-2013","Gautam"
"Bravo Colonial Cherry @ Mr.Durga Prasad","Rs288,000.00","Draft","40.00","30-08-2013","Gautam"
"Master bed room","Rs25,000.00","Draft","40.00","30-05-2013","Gautam"
"Proforma Invoice for Artifical Grass","Rs12,000.00","Draft","40.00","15-05-2013","Gautam"
"THE GATEWAY HOTEL @ LWF","Rs35,000.00","Draft","40.00","30-09-2013","Gautam"
"Proforma Invoice for Artifical Grass","Rs12,000.00","Draft","40.00","15-05-2013","Gautam"
"Display Room","Rs12,000.00","Draft","40.00","15-05-2013","Gautam"
"LwF @ sekhar site","Rs21,000.00","Draft","40.00","07-08-2013","Gautam"
"lwf@residential","Rs64,000.00","Draft","40.00","27-12-2013","Gautam"
"Jayaram","Rs300,000.00","Draft","50.00","10-02-2014","Hemanth"
"Sangeeth K.C.","Rs10,592.00","Draft","70.00","25-07-2013","Hemanth"
"KH Mercato","Rs5,572,710.00","Draft","40.00","30-06-2014","Hemanth"
"Maritime Montering Norinco India Pvt Ltd","Rs253,800.00","Draft","50.00","31-07-2013","Hemanth"
"Laminate flooring","Rs50,000.00","Draft","50.00","01-03-2014","Hemanth"
"Un named hospital","Rs150,000.00","Draft","40.00","15-05-2013","Hemanth"
"Choice School-Artificial Turf","Rs115,000.00","Draft","50.00","16-06-2014","Hemanth"
"PVS Memorial Hospital","Rs80,000.00","Draft","60.00","30-09-2013","Hemanth"
"Hospital","Rs200,000.00","Draft","70.00","19-08-2013","Hemanth"
"Wallgard","Rs300,000.00","Draft","90.00","31-08-2013","Hemanth"
"Rajasree Motors-LF Basic","Rs330,000.00","Draft","60.00","31-07-2014","Hemanth"
"IQ OPTIMA","Rs1,614.60","Draft","40.00","31-08-2013","Hemanth"
"Shivaprasad","Rs40,200.00","Draft","40.00","26-10-2013","Hemanth"
"Life Inspire-SWF","Rs2,400,000.00","Draft","50.00","30-06-2014","Hemanth"
"Artificial Turf-Ubissco","Rs114,400.00","Draft","50.00","30-04-2014","Hemanth"
"Sreevidya-OWF Ipe","Rs50,000.00","Draft","50.00","15-07-2014","Hemanth"
"Renai Hospital","Rs200,000.00","Draft","40.00","25-05-2013","Hemanth"
"Life Inspired-LWF","Rs110,200.00","Draft","50.00","10-06-2014","Hemanth"
"230sft-Basic Walnut Plank","Rs16,000.00","Draft","50.00","31-03-2014","Hemanth"
"IIA,Kochi","Rs45,500.00","Draft","50.00","21-10-2013","Hemanth"
"Ubissco-Tapiflex","Rs215,000.00","Draft","40.00","31-05-2014","Hemanth"
"Sangeeth K.C.","Rs11,000.00","Draft","40.00","30-09-2013","Hemanth"
"MIMS-Toro SC","Rs143,500.00","Draft","50.00","10-06-2014","Hemanth"
"Old World Walnut-180sft","Rs12,500.00","Draft","50.00","31-03-2014","Hemanth"
"Holy Family Hospital-Primo Premium","Rs210,000.00","Draft","50.00","12-05-2014","Hemanth"
"Santosh Kumar V.P.","Rs26,237.00","Draft","40.00","11-12-2013","Hemanth"
"KIMS Hospital,Kochi","Rs751,169.00","Draft","50.00","30-04-2014","Hemanth"
"Nair D Raj","Rs300,000.00","Draft","50.00","05-10-2013","Hemanth"
"Kumar Group","Rs58,000.00","Draft","40.00","15-11-2013","Hemanth"
"meeting","Rs1,000,000.00","Draft","40.00","10-07-2014","Indra"
"Mantri Alpine","Rs1,500,000.00","Draft","40.00","31-01-2013","Indra"
"The Indian school","Rs6,000,000.00","Draft","40.00","10-07-2014","Indra"
"Dealership for jaipur","Rs100,000.00","Draft","40.00","24-07-2014","Indra"
"LWF","Rs50,000.00","Draft","40.00","18-07-2014","Indra"
"presentation","Rs100,000.00","Draft","40.00","31-05-2014","Indra"
"Ayush-Outdoor","Rs400,000.00","Draft","40.00","31-10-2013","Indra"
"meeting and presentation","Rs300,000.00","Draft","40.00","19-06-2014","Indra"
"LWF","Rs100,000.00","Draft","40.00","30-06-2014","Indra"
"The Indian school","Rs6,000,000.00","Draft","40.00","10-07-2014","Indra"
"outdoor ipe","Rs500,000.00","Draft","40.00","15-07-2014","Indra"
"Studio HBA Mathura RD","Rs100,000.00","Draft","40.00","18-06-2014","Indra"
"Smoke house-Banglore","Rs1,800,000.00","Draft","40.00","31-12-2012","Indra"
"project enquiry","Rs10,000,000.00","Draft","40.00","20-08-2014","Indra"
"VMware Bangalore","Rs3,200,000.00","Draft","40.00","26-06-2014","Indra"
"HB- Vaishnodevi","Rs450,000.00","Draft","40.00","31-10-2013","Indra"
"Smoke house-Mumbai","Rs700,000.00","Draft","40.00","31-12-2012","Indra"
"LWF","Rs40,000.00","Draft","40.00","16-07-2014","Indra"
"lwf / ewf","Rs300,000.00","Draft","40.00","09-10-2013","Joydeep"
"salt lake","Rs500,000.00","Draft","40.00","30-08-2013","Joydeep"
"ARTIFCIAL TURF","Rs1,156,757.00","Draft","40.00","30-04-2014","Joydeep"
"gym floor","Rs900,000.00","Draft","40.00","31-07-2014","Joydeep"
"Auditorium Tripura","Rs2,100,000.00","Draft","40.00","27-11-2013","Joydeep"
"basic","Rs200,000.00","Draft","40.00","14-05-2014","Joydeep"
"Novotel hotel","Rs6,000,000.00","Draft","40.00","31-07-2014","Joydeep"
"DLF SWF order","Rs280,000.00","Draft","40.00","30-11-2013","Joydeep"
"Bharat Chember of Commerce Outdoor deck","Rs500,000.00","Draft","40.00","15-01-2014","Joydeep"
"Pipal Tree hotel","Rs350,000.00","Draft","40.00","31-08-2013","Joydeep"
"Rajarhat offer","Rs350,000.00","Draft","40.00","30-06-2013","Joydeep"
"Smoked oak","Rs40,000.00","Draft","40.00","30-09-2013","Joydeep"
"Laminate offer","Rs1,800,000.00","Draft","40.00","31-08-2014","Joydeep"
"CPWD Kolkata Rajarhat Project","Rs450,000.00","Draft","50.00","20-12-2013","Joydeep"
"Gym flooring","Rs650,000.00","Draft","40.00","31-08-2014","Joydeep"
"Piple Tree Hotel Project","Rs200,000.00","Draft","40.00","30-08-2013","Joydeep"
"CPWD Rabangla Job (Sikkim)","Rs1,020,000.00","Draft","60.00","18-12-2013","Joydeep"
"LWF","Rs600,000.00","Draft","40.00","22-09-2013","Joydeep"
"L Rodrigs","Rs50,000.00","Draft","60.00","10-09-2013","Joydeep"
"Profile","Rs6,000.00","Draft","40.00","30-04-2014","Joydeep"
"basic","Rs50,000.00","Draft","40.00","30-09-2013","Joydeep"
"oak ewf","Rs110,000.00","Draft","40.00","30-09-2013","Joydeep"
"walnut ewf","Rs125,000.00","Draft","40.00","31-12-2013","Joydeep"
"LWF(VINTAGE OR SHEERWOOD)","Rs320,000.00","Draft","40.00","27-06-2014","Joydeep"
"jhanshi mockup.","Rs750,000.00","Draft","40.00","30-06-2014","Joydeep"
"Makaibari Cottages Project","Rs1,500,000.00","Draft","40.00","16-06-2014","Joydeep"
"Mrs.Pampa","Rs65,000.00","Draft","40.00","22-05-2013","Joydeep"
"IPE","Rs300,000.00","Draft","40.00","31-08-2013","Joydeep"
"orbit rajarhat","Rs600,000.00","Draft","40.00","30-06-2013","Joydeep"
"outdoor deck","Rs2,500,000.00","Draft","40.00","31-07-2013","Joydeep"
"Silver Oak","Rs7,000,000.00","Draft","40.00","30-09-2013","Joydeep"
"NE Assam","Rs1,500,000.00","Draft","40.00","06-11-2013","Joydeep"
"Simplex O/D Deck project","Rs800,000.00","Draft","40.00","30-05-2013","Joydeep"
"sapale 3 strip","Rs100,000.00","Draft","40.00","30-09-2013","Joydeep"
"Orbit Group - LWF order","Rs1,400,000.00","Draft","40.00","30-05-2013","Joydeep"
"silver oak project  laminate","Rs5,000,000.00","Draft","40.00","31-08-2014","Joydeep"
"skirting","Rs50,000.00","Draft","40.00","28-02-2014","Joydeep"
"Mocha sherwood oak","Rs80,000.00","Draft","40.00","24-09-2013","Joydeep"
"soliid wood","Rs200,000.00","Draft","40.00","01-06-2014","Joydeep"
"basis & rio","Rs250,000.00","Draft","40.00","14-05-2014","Joydeep"
"Ambuja vinyl order","Rs500,000.00","Draft","40.00","30-09-2013","Joydeep"
"oak coffee brush","Rs300,000.00","Draft","40.00","07-06-2014","Joydeep"
"Resort (Chilapata) Project","Rs750,000.00","Draft","40.00","14-01-2014","Joydeep"
"oil","Rs2,500.00","Draft","40.00","12-04-2014","Joydeep"
"Profile","Rs20,000.00","Draft","40.00","31-03-2014","Joydeep"
"walnut","Rs430,000.00","Draft","40.00","22-05-2014","Joydeep"
"composite deck-","Rs254,000.00","Draft","40.00","28-02-2014","Joydeep"
"EWF  OAK PLANK","Rs3,500,000.00","Draft","40.00","31-01-2014","Joydeep"
"grass","Rs150,000.00","Draft","40.00","23-08-2014","Joydeep"
"composite & omni sports","Rs3,000,000.00","Draft","40.00","31-08-2014","Joydeep"
"teak solid wood","Rs2,000,000.00","Draft","40.00","28-02-2014","Joydeep"
"omni sports","Rs165,000.00","Draft","40.00","15-07-2013","Joydeep"
"srikant woodstock","Rs50,000.00","Draft","40.00","30-10-2013","Joydeep"
"basic","Rs20,000.00","Draft","40.00","31-08-2014","Joydeep"
"ewf","Rs450,000.00","Draft","40.00","31-07-2014","Joydeep"
"laminate offer","Rs200,000.00","Draft","40.00","30-06-2013","Joydeep"
"Salarpuria O/D Deck","Rs1,000,000.00","Draft","40.00","14-09-2013","Joydeep"
"CPWD Kodarma (Jharkhand) SWF","Rs500,000.00","Draft","40.00","18-03-2014","Joydeep"
"Lwf new order","Rs62,500.00","Draft","40.00","31-10-2013","Joydeep"
"Sangeet Bengla Studio","Rs500,000.00","Draft","40.00","12-03-2014","Joydeep"
"CPWD Kolkata Guest House(Wall Tiles)","Rs500,000.00","Draft","40.00","20-03-2014","Joydeep"
"reducer","Rs10,000.00","Draft","40.00","30-04-2014","Joydeep"
"Kolkata Port Trust","Rs120,000.00","Draft","40.00","20-02-2014","Joydeep"
"artificial turf","Rs1,200,000.00","Draft","40.00","31-07-2013","Joydeep"
"EWF","Rs125,000.00","Draft","40.00","30-11-2013","Joydeep"
"solid wood","Rs6,000,000.00","Draft","40.00","30-06-2014","Joydeep"
"CPWD Kolkata Job","Rs700,000.00","Draft","50.00","30-10-2013","Joydeep"
"Balasore 5 Star Hotel Projects","Rs750,000.00","Draft","40.00","16-01-2014","Joydeep"
"Emami Limited","Rs2,500,000.00","Draft","40.00","25-10-2013","Joydeep"
"IPE LONG","Rs200,000.00","Draft","40.00","30-06-2014","Joydeep"
"Indeco Consortium Pvt.Ltd - EWF","Rs700,000.00","Draft","40.00","16-04-2014","Joydeep"
"Nazrul Tirtha Rajarhat","Rs7,350,000.00","Draft","40.00","28-02-2014","Joydeep"
"Ambuja New order","Rs2,000,000.00","Draft","40.00","14-08-2013","Joydeep"
"Sunrise Green Club Project","Rs1,500,000.00","Draft","40.00","20-09-2013","Joydeep"
"Bengal Ambuja Raichawk","Rs2,000,000.00","Draft","40.00","20-11-2013","Joydeep"
"WALNUT","Rs300,000.00","Draft","40.00","30-09-2013","Joydeep"
"composite deck-","Rs150,000.00","Draft","40.00","17-12-2013","Joydeep"
"EWF - Coffie Oak","Rs120,000.00","Draft","40.00","25-09-2013","Joydeep"
"BHAGWATIGROUPS(ARTIFICIAL TURF)","Rs52,000.00","Draft","80.00","10-07-2014","Krishna"
"LWF-BASIC MERBAU","Rs18,500.00","Draft","75.00","30-11-2013","Krishna"
"SIDHA TOWN CLUB PROJECTS","Rs400,000.00","Draft","40.00","29-09-2014","Krishna"
"ARCH GROUP(RESIDENTIAL PROJECTS)","Rs125,000.00","Draft","40.00","25-07-2014","Krishna"
"HHI(KOLKATA)","Rs300,000.00","Draft","40.00","12-08-2014","Krishna"
"ARCH GROUP(SPORTS FLOORING & GRASS)","Rs560,000.00","Draft","40.00","30-07-2014","Krishna"
"LWF-WOODSTOCK","Rs65,000.00","Draft","70.00","07-03-2014","Krishna"
"PRIMARC GROUP(OUTDOOR DECK, SPORTS FLOORING, TURF)","Rs2,200,000.00","Draft","40.00","29-08-2014","Krishna"
"HOMOGENOUS VINYL(SHAPOORJI & PALLONJI)","Rs4,500,000.00","Draft","50.00","24-04-2014","Krishna"
"LWF-BASIC(SHAPOORJI & PALLONJI)","Rs800,000.00","Draft","50.00","24-04-2014","Krishna"
"HHI(KOLKATA DISCO LOUNGE)","Rs220,000.00","Draft","40.00","25-07-2014","Krishna"
"Ipe Long Deck","Rs200,000.00","Draft","40.00","30-09-2013","Mahendran"
"LWF-Basic","Rs250,000.00","Draft","40.00","10-04-2014","Mahendran"
"LWF - Rio","Rs30,000.00","Draft","40.00","15-05-2014","Mahendran"
"Ipe Long Deck","Rs1,000,000.00","Draft","40.00","31-12-2013","Mahendran"
"SWF - Teak","Rs100,000.00","Draft","40.00","10-07-2014","Mahendran"
"LWF - Cosy/Casual","Rs10,000.00","Draft","40.00","10-04-2014","Mahendran"
"Cosy - Old World Walnut","Rs50,000.00","Draft","40.00","10-06-2013","Mahendran"
"Coffee Brushed Oak","Rs1,000,000.00","Draft","40.00","10-01-2014","Mahendran"
"Old World Walnut","Rs50,000.00","Draft","40.00","19-02-2014","Mahendran"
"LWF Basic","Rs12,000.00","Draft","40.00","11-07-2014","Mahendran"
"Oak Plank Dark","Rs25,000.00","Draft","40.00","31-08-2013","Mahendran"
"EWF - Merbau Plank","Rs150,000.00","Draft","40.00","28-02-2014","Mahendran"
"IPE Tile Anti Slip","Rs800,000.00","Draft","40.00","27-08-2013","Mahendran"
"Ipe Long Deck","Rs500,000.00","Draft","40.00","10-07-2014","Mahendran"
"LWF - Basic Walnut","Rs100,000.00","Draft","40.00","31-01-2014","Mahendran"
"EWF Sapele 3 Strips","Rs200,000.00","Draft","40.00","14-08-2014","Mahendran"
"LWF Basic Walnut","Rs100,000.00","Draft","40.00","31-07-2014","Mahendran"
"Artificial Turf","Rs50,000.00","Draft","40.00","15-07-2014","Mahendran"
"Badri Deshmukh-Namrata","Rs2,000.00","Draft","40.00","31-07-2014","Mamatha"
"Srigiri Ananthakumar-EWF","Rs50,000.00","Draft","40.00","30-08-2014","Mamatha"
"Ranjeet-LWF","Rs40,000.00","Draft","40.00","30-08-2014","Mamatha"
"Ranjeet-LWF","Rs40,000.00","Draft","40.00","30-08-2014","Mamatha"
"Akash-Basic Teak-Extra Accessory","Rs1,100.00","Draft","40.00","11-07-2014","Mamatha"
